StudentId,UoPId,2019-20 ENG LEVEL
1703008,,L3
1703010,,L3
1703011,,L3
1703016,,L3
1703017,,L3
1703019,,L3
1703020,,L3
1703021,,L3
1703031,,L3
1703032,,L3
1703033,,L3
1703040,,L3
1703042,,L3
1703047,,L3
1703052,,L3
1703055,,L3
1703057,,L3
1703059,,L3
1703067,,L3
1703069,,L3
1703070,,L3
1703071,,L3
1703072,,L3
1703079,,L3
1703081,,L3
1703083,,L3
1703090,,L3
1703092,,L3
1703102,,L3
1703103,,L3
1703105,,L3
1703112,,L3
1703114,,L3
1703117,,L3
1703118,,L3
1703119,,L3
1703130,,L3
1703131,,L3
1703137,,L3
1703147,,L3
1703148,,L3
1706004,921503,L4
1709001,,L3
1709005,,L3
1803001,,L3
1803003,,L3
1803007,,L3
1803008,,L3
1803010,,L3
1803014,,L3
1803016,,L3
1803017,,L3
1803021,,L3
1803026,,L3
1803028,,L3
1803030,,L3
1803031,,L3
1803034,,L3
1803035,,L3
1803038,,L3
1803040,,L3
1803041,,L3
1803042,,L3
1803043,,L3
1803044,,L3
1803048,,L3
1803049,,L3
1803055,,L3
1803056,,L3
1803057,,L3
1803064,,L3
1803068,,L3
1803069,,L3
1803070,,L3
1803072,,L3
1803073,,L3
1803077,,L3
1803078,,L3
1803082,,L3
1803083,,L3
1803085,,L3
1803088,,L3
1803097,,L3
1803098,,L3
1803101,,L3
1803102,,L3
1803104,,L3
1803107,,L3
1803109,,L3
1803111,,L3
1803112,,L3
1803114,,L3
1803116,,L3
1803119,,L3
1803126,,L3
1803129,,L3
1803130,,L3
1803132,,L3
1803133,,L3
1803137,,L3
1803141,,L3
1803142,,L3
1803144,,L3
1803150,,L3
1803160,,L3
1803167,,L3
1803168,,L3
1803169,,L3
1803170,,L3
1803179,,L3
1803181,,L3
1803182,,L3
1803183,,L3
1803186,,L3
1803192,,L3
1803199,,L3
1803201,,L3
1803203,,L3
1803204,,L3
1803209,,L3
1809001,,L3
1809002,,L3
1809004,,L3
1809005,,L3
1903156,,L3
1903157,,L3
1903158,,L3
1903159,,L3
1903160,,L3
1903161,,L3
1903162,,L3
1903163,,L3
1903164,,L3
1909001,,L3
1909002,,L3
1909008,,L3
1601014,921744,L3
1701001,,L3
1701010,,L3
1702005,,L3
1702054,,L3
1702055,,L3
1702057,,L3
1702079,,L3
1702087,,L3
1702103,,L3
1702106,,L3
1702119,,L3
1702149,,L3
1702151,,L3
1702202,,L3
1702215,,L3
1702231,,L3
1702269,,L3
1702286,,L3
1702324,,L3
1702339,,L3
1704029,,L3
1704060,,L3
1705009,,L3
1705014,,L3
1705020,,L3
1801002,,L3
1802023,,L3
1802025,,L3
1802031,,L3
1802032,,L3
1802080,,L3
1802208,,L3
1803045,,L3
1803061,,L3
1803145,,L3
1804028,,L3
1805007,,L3
1905020,,L3
1604024,921662,L3
1604091,921682,L3
1704008,,L3
1704010,,L3
1704013,,L3
1704016,921698,L3
1704019,,L3
1704020,,L3
1704021,,L3
1704023,,L3
1704024,,L3
1704025,,L3
1704031,,L3
1704035,,L3
1704039,,L3
1704040,921705,L3
1704041,,L3
1704043,,L3
1704044,,L3
1704045,,L3
1704046,,L3
1704047,,L3
1704048,,L3
1704052,,L3
1704053,,L3
1704054,,L3
1704055,,L3
1704056,,L3
1704058,,L3
1704062,,L3
1704065,,L3
1704066,,L3
1704070,,L3
1704072,,L3
1704074,,L3
1704076,,L3
1704079,,L3
1704080,,L3
1704082,,L3
1704087,,L3
1704091,,L3
1704092,,L3
1704093,,L3
1704094,921719,L3
1704101,,L3
1704103,,L3
1704106,,L3
1704107,921723,L3
1704108,,L3
1704109,,L3
1706003,,L3
1706011,,L3
1804004,,L3
1804006,,L3
1804010,,L3
1804016,,L3
1804018,,L3
1804019,,L3
1804021,,L3
1804024,,L3
1804027,,L3
1804029,,L3
1804034,,L3
1804036,,L3
1804038,,L3
1804039,,L3
1904079,,L3
1904080,,L3
1904081,,L3
1602033,921749,L3
1602034,921750,L3
1602048,921754,L3
1602055,921756,L3
1602060,921757,L3
1602073,921758,L3
1602095,921761,L3
1602149,921768,L3
1602159,921771,L3
1602228,921806,L3
1602267,921811,L3
1602278,921812,L3
1602286,921813,L3
1602287,921814,L3
1605047,921883,L3
1605048,921884,L3
1701004,,L3
1701007,,L3
1701011,,L3
1701013,,L3
1701014,,L3
1702002,,L3
1702010,,L3
1702015,,L3
1702017,,L3
1702019,,L3
1702021,,L3
1702022,,L3
1702024,,L3
1702025,921897,L3
1702027,,L3
1702036,,L3
1702038,,L3
1702042,,L3
1702044,921901,L3
1702045,,L3
1702048,,L3
1702050,,L3
1702051,,L3
1702059,,L3
1702066,,L3
1702067,,L3
1702069,,L3
1702072,,L3
1702076,,L3
1702081,,L3
1702082,,L3
1702083,,L3
1702086,,L3
1702088,,L3
1702091,,L3
1702093,,L3
1702099,,L3
1702100,,L3
1702107,,L3
1702111,,L3
1702114,,L3
1702123,,L3
1702124,,L3
1702128,,L3
1702130,,L3
1702131,,L3
1702132,,L3
1702133,,L3
1702134,,L3
1702135,,L3
1702140,,L3
1702146,,L3
1702152,,L3
1702153,,L3
1702156,,L3
1702160,,L3
1702162,,L3
1702172,,L3
1702174,,L3
1702175,,L3
1702178,,L3
1702181,921909,L3
1702183,,L3
1702185,,L3
1702186,,L3
1702190,,L3
1702192,,L3
1702197,,L3
1702199,,L3
1702201,,L3
1702205,,L3
1702207,,L3
1702208,,L3
1702210,,L3
1702211,,L3
1702212,,L3
1702213,,L3
1702216,,L3
1702219,,L3
1702220,921912,L3
1702222,,L3
1702223,,L3
1702225,,L3
1702228,,L3
1702232,,L3
1702242,,L3
1702246,,L3
1702249,,L3
1702250,,L3
1702254,,L3
1702255,,L3
1702258,,L3
1702262,,L3
1702266,,L3
1702280,,L3
1702281,,L3
