EXAM_TITLE,MCODE,AY,TERM,STUDENT_ID,EXAM_HALL,SEAT_NO,TIME,DAY_DATE_DISPLAY,DATE,CLASS,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802008,Exhibition,A3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802041,Exhibition,A10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802076,Exhibition,B3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802117,Exhibition,B16,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802131,Exhibition,C1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802133,Exhibition,C2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802144,Exhibition,C8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802166,Exhibition,C13,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802204,Exhibition,D2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802218,Exhibition,D7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802242,Exhibition,D12,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802253,Exhibition,D18,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802267,Exhibition,E1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802270,Exhibition,E2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802271,Exhibition,E3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802273,Exhibition,E4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803020,Exhibition,E11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803047,Exhibition,E13,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803051,Exhibition,E15,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803058,Exhibition,E17,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804013,Exhibition,G6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804015,Exhibition,G8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804049,Exhibition,G15,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM1,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1903153,Exhibition,M3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM10,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1904009,Exhibition,M8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM10,,,,
